NO,폐교명,주소,위도,경도,건물규모,토지규모,총 금액,현재 상태,음식점 수,편의점 수,카페 수,병원 수,주유소 수,숙박시설 수,음식점 점수,편의점 점수,카페 점수,병원 점수,주유소 점수,숙박시설 점수,총 점수,점수 순위
107,영창초등학교,전라남도 함평군 학교면 사거리 172,35.0317278,126.5352049,1896.04,16170,403936,대부,34,1,13,5,7,4,102,73,109,115,116,62,577,15
108,법성중안마분교장,전라남도 영광군 낙월면 월촌리 산313-3,35.3459214,126.0250499,888.88,4183,430020,미활용,1,0,0,0,0,2,15,1,1,1,1,32,51,103
109,염산초야월분교장,전라남도 영광군 염산면 야월리 300,35.2298642,126.3190472,1927.82,15780,307065,미활용,1,0,0,0,1,2,15,1,1,1,68,32,118,85
110,영광서초등학교,전라남도 영광군 영광읍 계송리 667,35.3005717,126.5201877,1852.16,12466,357323,미활용,140,8,29,11,7,6,117,117,117,119,116,77,663,5
111,법성포초안마분교장,전라남도 영광군 낙월면 월촌리 산323,35.3452422,126.0255604,694.95,13708,296756,미활용,1,0,0,0,0,2,15,1,1,1,1,32,51,103
112,사창초능성분교장,전라남도 장성군 삼계면 능성리 599-1,35.26679,126.6986232,1006.03,12422,533744,미활용,70,5,9,2,2,3,115,115,106,99,88,50,573,17
113,삼서남초등학교,전라남도 장성군 삼서면 석마리 661-4,35.2065748,126.6659242,0,18218,73965,대부,2,0,2,0,2,1,36,1,62,1,88,19,207,62
114,장성신흥중학교,전라남도 장성군 북일면 성덕리 36,35.3860476,126.7927067,1632.16,15591,476149,미활용,15,1,4,0,4,8,87,73,89,1,107,88,445,29
115,오송초등학교,전라남도 진도군 지산면 오류리 616-4,34.4128712,126.1450284,0,10553,18385,대부,13,2,1,1,1,1,83,94,47,89,68,19,400,35
116,조도초맹골분교장,전라남도 진도군 조도면 맹골도 리 74-1,34.2165064,125.853778,0,608,352,미활용,0,0,0,0,0,1,1,1,1,1,1,19,24,112
117,조도초소죽도분교장,전라남도 진도군 조도면 서거차 도리 150,34.2957192,126.0557114,101,258,9564,미활용,13,1,2,2,1,9,83,73,62,99,68,91,476,24
118,지산서초등학교,전라남도 진도군 지산면 가치리 904-3,34.4344433,126.122423,981.39,14582,330825,대부,1,0,2,0,0,13,15,1,62,1,1,99,179,66
119,석교초용등분교장,전라남도 진도군 임회면 백동리 633,34.3798335,126.1905884,1057.88,13766,169307,미활용,4,0,0,0,0,5,50,1,1,1,1,72,126,83
120,의동초등학교,전라남도 진도군 의신면 초사리 102,34.42223,126.3335982,1326,12984,1683519,대부,40,3,8,0,0,7,105,104,102,1,1,83,396,36
121,안좌초등학교자라분교장,전라남도 신안군 안좌면 자라리 227,34.6883232,126.1699439,760.43,8970,339610860,미활용,1,0,0,0,0,2,15,1,1,1,1,32,51,103
